(-99927, 9, 99918)
(-99927, -49993, 99905)
(-99927, -49906, 99818)
(-99927, -49889, 99801)
(-99927, -49752, 99664)
(-99927, -49722, 99634)
(-99927, -49675, 99587)
(-99927, -49673, 99585)
(-99927, -49647, 99559)
(-99927, -49625, 99537)
(-99927, -49582, 99494)
(-99927, -49396, 99308)
(-99927, -49285, 99197)
(-99927, -49247, 99159)
(-99927, -49181, 99093)
(-99927, -49171, 99083)
(-99927, -49109, 99021)
(-99927, -49083, 98995)
(-99927, -49082, 98994)
(-99927, -49043, 98955)
(-99927, -48993, 98905)
(-99927, -48987, 98899)
(-99927, -48980, 98892)
(-99927, -48889, 98801)
(-99927, -48799, 98711)
(-99927, -48748, 98660)
(-99927, -48728, 98640)
(-99927, -48700, 98612)
(-99927, -48650, 98562)
(-99927, -48623, 98535)
(-99927, -48545, 98457)
(-99927, -48512, 98424)
(-99927, -48510, 98422)
(-99927, -48346, 98258)
(-99927, -48324, 98236)
(-99927, -48322, 98234)
(-99927, -48263, 98175)
(-99927, -48246, 98158)
(-99927, -48176, 98088)
(-99927, -48140, 98052)
(-99927, -48132, 98044)
(-99927, -47920, 97832)
(-99927, -47769, 97681)
(-99927, -47718, 97630)
(-99927, -47716, 97628)
(-99927, -47644, 97556)
(-99927, -47616, 97528)
(-99927, -47564, 97476)
(-99927, -47545, 97457)
(-99927, -47544, 97456)
(-99927, -47534, 97446)
(-99927, -47515, 97427)
(-99927, -47500, 97412)
(-99927, -47300, 97212)
(-99927, -47176, 97088)
(-99927, -47170, 97082)
(-99927, -47165, 97077)
(-99927, -47080, 96992)
(-99927, -47019, 96931)
(-99927, -47010, 96922)
(-99927, -46994, 96906)
(-99927, -46930, 96842)
(-99927, -46898, 96810)
(-99927, -46815, 96727)
(-99927, -46676, 96588)
(-99927, -46547, 96459)
(-99927, -46428, 96340)
(-99927, -46330, 96242)
(-99927, -46129, 96041)
(-99927, -46081, 95993)
(-99927, -45947, 95859)
(-99927, -45905, 95817)
(-99927, -45869, 95781)
(-99927, -45804, 95716)
(-99927, -45597, 95509)
(-99927, -45559, 95471)
(-99927, -45217, 95129)
(-99927, -45128, 95040)
(-99927, -44913, 94825)
(-99927, -44845, 94757)
(-99927, -44763, 94675)
(-99927, -44523, 94435)
(-99927, -44465, 94377)
(-99927, -44430, 94342)
(-99927, -44414, 94326)
(-99927, -44361, 94273)
(-99927, -44348, 94260)
(-99927, -44337, 94249)
(-99927, -44285, 94197)
(-99927, -44263, 94175)
(-99927, -44153, 94065)
(-99927, -44133, 94045)
(-99927, -44111, 94023)
(-99927, -43790, 93702)
(-99927, -43744, 93656)
(-99927, -43707, 93619)
(-99927, -43591, 93503)
(-99927, -43589, 93501)
(-99927, -43536, 93448)
(-99927, -43498, 93410)
(-99927, -43471, 93383)
(-99927, -43428, 93340)
(-99927, -43410, 93322)
(-99927, -43343, 93255)
(-99927, -43237, 93149)
(-99927, -43211, 93123)
(-99927, -43163, 93075)
(-99927, -43089, 93001)
(-99927, -43059, 92971)
(-99927, -42994, 92906)
(-99927, -42880, 92792)
(-99927, -42849, 92761)
(-99927, -42849, 92761)
(-99927, -42735, 92647)
(-99927, -42694, 92606)
(-99927, -42617, 92529)
(-99927, -42599, 92511)
(-99927, -42351, 92263)
(-99927, -42274, 92186)
(-99927, -42247, 92159)
(-99927, -42242, 92154)
(-99927, -42183, 92095)
(-99927, -42117, 92029)
(-99927, -41914, 91826)
(-99927, -41603, 91515)
(-99927, -41552, 91464)
(-99927, -41453, 91365)
(-99927, -41364, 91276)
(-99927, -41313, 91225)
(-99927, -41301, 91213)
(-99927, -41295, 91207)
(-99927, -41163, 91075)
(-99927, -41121, 91033)
(-99927, -41078, 90990)
(-99927, -40928, 90840)
(-99927, -40833, 90745)
(-99927, -40680, 90592)
(-99927, -40623, 90535)
(-99927, -40564, 90476)
(-99927, -40527, 90439)
(-99927, -40412, 90324)
(-99927, -40294, 90206)
(-99927, -40072, 89984)
(-99927, -40000, 89912)
(-99927, -39994, 89906)
(-99927, -39980, 89892)
(-99927, -39958, 89870)
(-99927, -39846, 89758)
(-99927, -39805, 89717)
(-99927, -39795, 89707)
(-99927, -39738, 89650)
(-99927, -39702, 89614)
(-99927, -39492, 89404)
(-99927, -39422, 89334)
(-99927, -39181, 89093)
